#np,nx,ny,nz,mlup,elapsed
1,1,1,1,112.26172029160003,54.26
12,12,1,1,1329.530124517,55.27
12,3,2,2,1324.69806047,55.42
12,4,3,1,1315.655180779,55.70
12,6,2,1,1323.848089558,55.46
4,2,2,1,448.98190703750004,54.37
4,4,1,1,448.07082030969997,54.44
8,2,2,2,894.3670610718,54.61
8,4,2,1,896.9955593639,54.61
8,8,1,1,894.6112023843998,54.59
