#np,nx,ny,nz,mlup,elapsed
1,1,1,1,112.31602686900001,54.24
12,12,1,1,1332.8755225190002,54.83
12,3,2,2,1342.5131545339998,54.63
12,4,3,1,1336.4716968139999,54.84
12,6,2,1,1342.499263129,54.62
4,2,2,1,448.3071756937,54.36
4,4,1,1,448.5776102306001,54.35
8,2,2,2,895.8976872765,54.47
8,4,2,1,895.1857155117001,54.49
8,8,1,1,888.9560134301998,54.74
